week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
1,0,431.l.120609.t.1,1,Shawty Got Soto,0,63/265,36,11,42,0,109,.238,.284,75.0,72,2.52,0.96,11
1,0,431.l.120609.t.14,14,Since You've Been Kwan,1,107/387,64,19,62,8,183,.276,.324,60.2,70,2.23,1.09,3
1,1,431.l.120609.t.2,2,Jahn's EnDevers,0,89/372,52,14,51,6,147,.239,.312,64.1,56,5.18,1.43,9
1,1,431.l.120609.t.10,10,Seiya's Sauna,1,92/357,51,15,63,7,175,.258,.341,68.1,73,5.40,1.36,3
1,2,431.l.120609.t.3,3,Mr. Castillo Girl,0,75/339,58,14,53,11,131,.221,.312,96.1,101,4.95,1.22,5
1,2,431.l.120609.t.7,7,Nate's Team,1,91/344,63,17,53,6,157,.265,.362,69.2,85,3.36,0.96,3
1,3,431.l.120609.t.4,4,Gabe's Team,1,92/380,53,15,58,5,157,.242,.303,70.0,63,2.31,1.13,7
1,3,431.l.120609.t.11,11,Bohms Away,0,84/343,49,8,48,7,131,.245,.326,59.2,62,2.56,1.17,7
1,4,431.l.120609.t.5,5,Ohtani's Casino,1,86/339,42,9,42,12,141,.254,.332,63.1,71,2.70,1.18,3
1,4,431.l.120609.t.8,8,This Means Schwar,0,82/345,42,10,38,4,123,.238,.311,65.2,81,4.52,1.29,1
1,5,431.l.120609.t.6,6,David's Team,-1,85/357,40,12,41,6,133,.238,.316,76.0,73,3.08,1.16,7
1,5,431.l.120609.t.13,13,Dookie Betts,-1,87/335,59,13,45,1,152,.260,.357,67.1,65,3.48,1.22,3
1,6,431.l.120609.t.9,9,The Will Smith Slappers,1,100/362,46,17,55,5,171,.276,.355,87.1,87,4.74,1.45,7
1,6,431.l.120609.t.12,12,Arraez Con Pollo,0,101/391,58,14,40,13,160,.258,.345,41.1,51,1.96,0.99,0
2,0,431.l.120609.t.1,1,Shawty Got Soto,1,61/190,31,11,44,4,103,.321,.400,47.1,42,4.37,1.35,4
2,0,431.l.120609.t.12,12,Arraez Con Pollo,0,77/254,43,10,35,9,123,.303,.369,44.0,52,5.93,1.48,1
2,1,431.l.120609.t.2,2,Jahn's EnDevers,0,50/218,29,4,18,6,73,.229,.307,55.0,43,5.24,1.58,5
2,1,431.l.120609.t.4,4,Gabe's Team,1,59/243,40,8,34,1,104,.243,.335,53.1,54,4.89,1.33,3
2,2,431.l.120609.t.3,3,Mr. Castillo Girl,1,62/226,34,7,24,11,89,.274,.352,71.1,81,2.90,1.29,6
2,2,431.l.120609.t.11,11,Bohms Away,0,53/230,33,10,43,4,96,.230,.337,34.0,32,5.82,1.47,3
2,3,431.l.120609.t.5,5,Ohtani's Casino,0,56/214,26,13,35,4,108,.262,.339,44.0,42,5.11,1.34,1
2,3,431.l.120609.t.10,10,Seiya's Sauna,1,54/215,32,7,27,5,95,.251,.326,63.1,79,3.13,1.03,1
2,4,431.l.120609.t.6,6,David's Team,-1,57/241,29,5,34,4,82,.237,.284,55.0,68,3.11,1.16,3
2,4,431.l.120609.t.8,8,This Means Schwar,-1,60/222,36,13,31,0,111,.270,.349,48.1,47,3.17,1.16,2
2,5,431.l.120609.t.7,7,Nate's Team,0,52/211,33,8,24,3,87,.246,.304,55.0,63,3.44,1.20,5
2,5,431.l.120609.t.9,9,The Will Smith Slappers,1,65/240,38,7,39,2,110,.271,.369,79.0,72,4.33,1.48,4
2,6,431.l.120609.t.13,13,Dookie Betts,0,52/211,27,7,22,4,79,.246,.335,38.2,46,2.56,1.09,3
2,6,431.l.120609.t.14,14,Since You've Been Kwan,1,70/253,47,14,42,5,122,.277,.345,51.1,45,3.86,1.15,5
3,0,431.l.120609.t.1,1,Shawty Got Soto,1,53/197,27,6,33,7,88,.269,.326,38.2,36,1.86,0.85,10
3,0,431.l.120609.t.7,7,Nate's Team,0,32/192,19,6,18,3,54,.167,.225,54.0,70,4.33,1.30,3
3,1,431.l.120609.t.2,2,Jahn's EnDevers,-1,54/219,36,4,26,8,78,.247,.322,63.0,61,1.43,0.89,5
3,1,431.l.120609.t.3,3,Mr. Castillo Girl,-1,59/228,28,5,22,12,90,.259,.342,62.2,72,2.73,1.21,2
3,2,431.l.120609.t.4,4,Gabe's Team,1,57/241,42,10,28,5,105,.237,.326,45.2,33,2.56,1.18,5
3,2,431.l.120609.t.5,5,Ohtani's Casino,0,56/187,25,6,28,11,79,.299,.390,41.2,45,4.10,1.34,0
3,3,431.l.120609.t.6,6,David's Team,0,66/215,27,5,31,6,96,.307,.387,41.1,45,4.35,1.21,5
3,3,431.l.120609.t.10,10,Seiya's Sauna,1,59/229,30,5,32,8,90,.258,.306,54.1,57,3.31,1.05,2
3,4,431.l.120609.t.8,8,This Means Schwar,1,45/217,26,7,33,4,75,.207,.299,51.0,50,5.65,1.39,3
3,4,431.l.120609.t.13,13,Dookie Betts,0,49/216,25,2,12,5,61,.227,.313,56.0,45,3.70,1.39,3
3,5,431.l.120609.t.9,9,The Will Smith Slappers,0,44/226,29,5,25,7,67,.195,.261,64.2,53,1.81,1.13,2
3,5,431.l.120609.t.11,11,Bohms Away,1,60/213,38,14,41,3,116,.282,.378,61.1,51,4.40,1.35,10
3,6,431.l.120609.t.12,12,Arraez Con Pollo,1,73/273,32,4,31,13,103,.267,.323,44.1,46,2.44,1.02,4
3,6,431.l.120609.t.14,14,Since You've Been Kwan,0,61/246,28,5,26,6,91,.248,.316,33.1,38,2.16,1.11,6
4,0,431.l.120609.t.1,1,Shawty Got Soto,1,60/188,38,11,31,6,107,.319,.393,70.0,71,1.67,0.91,7
4,0,431.l.120609.t.11,11,Bohms Away,0,75/232,47,13,44,6,135,.323,.381,47.2,53,4.91,1.20,3
4,1,431.l.120609.t.2,2,Jahn's EnDevers,0,61/228,29,8,24,3,95,.268,.345,71.0,66,4.06,1.20,5
4,1,431.l.120609.t.9,9,The Will Smith Slappers,1,54/228,35,14,35,3,102,.237,.315,75.1,64,3.46,1.30,3
4,2,431.l.120609.t.3,3,Mr. Castillo Girl,0,44/199,27,9,26,7,79,.221,.282,41.2,41,5.83,1.46,3
4,2,431.l.120609.t.5,5,Ohtani's Casino,1,38/200,26,11,36,11,80,.190,.282,50.1,63,4.11,1.09,4
4,3,431.l.120609.t.4,4,Gabe's Team,0,51/245,24,4,21,3,75,.208,.292,35.2,43,3.03,1.32,4
4,3,431.l.120609.t.6,6,David's Team,1,52/229,25,5,26,2,78,.227,.298,40.0,49,3.38,1.25,3
4,4,431.l.120609.t.7,7,Nate's Team,1,45/186,17,9,28,3,83,.242,.321,65.1,65,2.89,1.19,12
4,4,431.l.120609.t.14,14,Since You've Been Kwan,0,61/250,29,4,25,8,90,.244,.307,58.2,45,3.38,1.16,7
4,5,431.l.120609.t.8,8,This Means Schwar,1,63/250,32,10,27,6,105,.252,.319,60.2,52,3.71,0.87,4
4,5,431.l.120609.t.10,10,Seiya's Sauna,0,51/227,22,2,24,12,69,.225,.288,74.0,83,2.55,1.04,3
4,6,431.l.120609.t.12,12,Arraez Con Pollo,0,58/240,33,5,15,4,85,.242,.308,51.0,40,4.76,1.59,7
4,6,431.l.120609.t.13,13,Dookie Betts,1,60/219,30,7,24,5,96,.274,.331,58.2,63,2.45,1.04,6
5,0,431.l.120609.t.1,1,Shawty Got Soto,0,46/198,20,6,25,6,74,.232,.317,68.0,59,2.12,1.00,5
5,0,431.l.120609.t.2,2,Jahn's EnDevers,1,67/227,33,8,25,8,108,.295,.363,33.0,35,4.64,1.33,4
5,1,431.l.120609.t.3,3,Mr. Castillo Girl,0,47/207,29,7,28,8,80,.227,.293,55.2,75,3.40,0.90,1
5,1,431.l.120609.t.6,6,David's Team,1,62/221,26,10,39,4,99,.281,.337,42.2,30,3.38,1.05,4
